"iteration";"var(t)"
2500;4.80488
5000;4.6066
7500;5.01778
10000;4.16955
12500;4.4601
15000;4.29209
17500;4.43747
20000;4.65781
22500;4.1712
25000;3.91346
27500;4.13708
30000;4.36288
32500;4.09361
35000;4.19807
37500;4.08875
40000;3.83996
42500;4.02417
45000;3.70748
47500;3.69801
50000;4.44688
52500;3.57928
55000;3.6743
57500;3.85035
60000;3.99356
62500;3.68646
65000;3.38
67500;3.23189
70000;3.31692
72500;3.73601
75000;3.32494
77500;3.19885
80000;3.22591
82500;3.15908
85000;3.21816
87500;3.02874
90000;3.2556
92500;3.10263
95000;2.90901
97500;3.01033
100000;2.83912
102500;2.90306
105000;2.68169
107500;2.72397
110000;2.95572
112500;2.572
115000;2.48515
117500;2.5375
120000;2.39769
122500;2.67805
125000;2.54202
127500;2.4812
130000;2.36582
132500;2.41214
135000;2.52056
137500;2.26103
140000;2.34696
142500;2.221
145000;1.93532
147500;2.05885
150000;2.0888
152500;1.91302
155000;1.77821
157500;1.8513
160000;1.67974
162500;1.82142
165000;1.71117
167500;1.85869
170000;1.77458
172500;1.64882
175000;1.5089
177500;1.53018
180000;1.31879
182500;1.41685
185000;1.29761
187500;1.28661
190000;1.22272
192500;1.2784
195000;1.2839
197500;1.18347
200000;1.04802
202500;1.05664
205000;0.969166
207500;0.969309
210000;0.907288
212500;0.837402
215000;0.809112
217500;0.660822
220000;0.658163
222500;0.665107
225000;0.654042
227500;0.599074
230000;0.534601
232500;0.51447
235000;0.485211
237500;0.468256
240000;0.459201
242500;0.432818
245000;0.422854
247500;0.432861
250000;0.381767
