"iteration";"temperature"
0;2.89458
2500;2.93467
5000;2.81838
7500;2.81935
10000;2.8229
12500;2.79825
15000;2.75688
17500;2.6276
20000;2.66463
22500;2.55542
25000;2.66517
27500;2.55508
30000;2.44807
32500;2.46844
35000;2.44201
37500;2.38715
40000;2.44563
42500;2.35678
45000;2.30605
47500;2.32089
50000;2.2285
52500;2.23729
55000;2.18551
57500;2.20268
60000;2.13375
62500;2.06467
65000;2.08862
67500;2.10561
70000;2.01651
72500;2.04228
75000;2.00157
77500;1.95906
80000;1.92603
82500;1.8559
85000;1.91454
87500;1.7878
90000;1.87256
92500;1.81287
95000;1.68301
97500;1.76944
100000;1.67607
102500;1.66276
105000;1.64187
107500;1.63372
110000;1.62182
112500;1.5798
115000;1.45909
117500;1.45051
120000;1.45779
122500;1.47282
125000;1.39038
127500;1.36549
130000;1.34228
132500;1.36787
135000;1.27195
137500;1.18813
140000;1.16886
142500;1.1641
145000;1.17388
147500;1.10637
150000;1.11129
152500;1.08825
155000;1.07485
157500;1.01275
160000;0.992991
162500;0.938514
165000;0.952709
167500;0.935073
170000;0.887157
172500;0.886763
175000;0.823569
177500;0.818352
180000;0.784431
182500;0.753152
185000;0.724277
187500;0.711681
190000;0.690262
192500;0.687078
195000;0.650362
197500;0.649012
200000;0.637794
202500;0.670477
205000;0.657901
207500;0.613487
210000;0.641538
212500;0.593925
215000;0.631459
217500;0.594604
220000;0.557576
222500;0.526166
225000;0.563789
227500;0.540265
230000;0.503536
232500;0.53616
235000;0.505428
237500;0.51072
240000;0.511803
242500;0.512074
245000;0.502497
247500;0.498154
250000;0.494647
250000;0.494647
