"iteration";"var(t)"
2500;4.62912
5000;4.34828
7500;4.2433
10000;3.71398
12500;3.61311
15000;3.01775
17500;2.81497
20000;2.39367
22500;2.28592
25000;1.83944
27500;1.69072
30000;1.36771
32500;1.01994
35000;0.817827
37500;0.554146
40000;0.365723
42500;0.239847
45000;0.128567
47500;0.0679128
50000;0.0298299
52500;0.0166302
55000;0.0314748
57500;0.0208979
60000;0.0171475
62500;0.0195492
65000;0.0209393
67500;0.0116523
70000;0.0115171
72500;0.00730063
75000;0.00451356
77500;0.00335613
80000;0.00412596
82500;0.00255389
85000;0.0021857
87500;0.00249634
90000;0.00230742
92500;0.00201216
95000;0.00255235
97500;0.00254286
100000;0.00243565
102500;0.00163732
105000;0.00157286
107500;0.00145865
110000;0.00161342
112500;0.00158266
115000;0.00190087
117500;0.00172289
120000;0.00156521
122500;0.00250865
125000;0.00192275
127500;0.0015084
130000;0.00224033
132500;0.00228045
135000;0.00192222
137500;0.00242263
140000;0.00209826
142500;0.00251447
145000;0.00316653
147500;0.00236901
150000;0.002179
152500;0.00228272
155000;0.00181237
157500;0.00221059
160000;0.0019303
162500;0.00321705
165000;0.00321743
167500;0.00324924
170000;0.00231933
172500;0.00253286
175000;0.00215668
177500;0.00231129
180000;0.0017954
182500;0.00225961
185000;0.00186891
187500;0.00190693
190000;0.0021695
192500;0.00212946
195000;0.00187507
197500;0.00188304
200000;0.00194173
202500;0.00209029
205000;0.00301545
207500;0.00185227
210000;0.00181492
212500;0.00213834
215000;0.00362008
217500;0.00347834
220000;0.00300038
222500;0.00227818
225000;0.00384288
227500;0.00455309
230000;0.00268745
232500;0.00301308
235000;0.00249728
237500;0.00212402
240000;0.00207396
242500;0.00232481
245000;0.00262102
247500;0.00306558
250000;0.00301951
