"iteration";"temperature"
0;2.89458
2500;2.72663
5000;2.5709
7500;2.29217
10000;2.08754
12500;1.88929
15000;1.70635
17500;1.52647
20000;1.37612
22500;1.20366
25000;0.976369
27500;0.821514
30000;0.661028
32500;0.57819
35000;0.500364
37500;0.452956
40000;0.377237
42500;0.310893
45000;0.200905
47500;0.0987634
50000;0.02
52500;0.02
55000;0.02
57500;0.02
60000;0.02
62500;0.02
65000;0.02
67500;0.02
70000;0.02
72500;0.02
75000;0.02
77500;0.02
80000;0.02
82500;0.02
85000;0.02
87500;0.02
90000;0.02
92500;0.02
95000;0.02
97500;0.02
100000;0.02
102500;0.02
105000;0.02
107500;0.02
110000;0.02
112500;0.02
115000;0.02
117500;0.02
120000;0.02
122500;0.02
125000;0.02
127500;0.02
130000;0.02
132500;0.02
135000;0.02
137500;0.02
140000;0.02
142500;0.02
145000;0.02
147500;0.02
150000;0.02
152500;0.02
155000;0.02
157500;0.02
160000;0.02
162500;0.02
165000;0.02
167500;0.02
170000;0.02
172500;0.02
175000;0.02
177500;0.02
180000;0.02
182500;0.02
185000;0.02
187500;0.02
190000;0.02
192500;0.02
195000;0.02
197500;0.02
200000;0.02
202500;0.02
205000;0.02
207500;0.02
210000;0.02
212500;0.02
215000;0.02
217500;0.02
220000;0.02
222500;0.02
225000;0.02
227500;0.02
230000;0.02
232500;0.02
235000;0.02
237500;0.02
240000;0.02
242500;0.02
245000;0.02
247500;0.02
250000;0.02
250000;0.02
